seed,target,best_epoch,n,accuracy,macro_f1,real_recall,fake_recall,confusion_matrix,classification_report,elapsed_minutes
42,LIAR test,2,1267,0.6400947119179163,0.6231055861723447,0.7563025210084033,0.49005424954792043,"[[540, 174], [282, 271]]","              precision    recall  f1-score   support

        REAL     0.6569    0.7563    0.7031       714
        FAKE     0.6090    0.4901    0.5431       553

    accuracy                         0.6401      1267
   macro avg     0.6330    0.6232    0.6231      1267
weighted avg     0.6360    0.6401    0.6333      1267
",9.143925031026205
42,FakeNewsNet PolitiFact titles,2,1056,0.4356060606060606,0.36947139370769766,0.09455128205128205,0.9282407407407407,"[[59, 565], [31, 401]]","              precision    recall  f1-score   support

        REAL     0.6556    0.0946    0.1653       624
        FAKE     0.4151    0.9282    0.5737       432

    accuracy                         0.4356      1056
   macro avg     0.5353    0.5114    0.3695      1056
weighted avg     0.5572    0.4356    0.3323      1056
",9.143925031026205
42,FakeNewsNet GossipCop titles,2,22140,0.288256549232159,0.26592017941266377,0.07492418386156866,0.9622393387187677,"[[1260, 15557], [201, 5122]]","              precision    recall  f1-score   support

        REAL     0.8624    0.0749    0.1379     16817
        FAKE     0.2477    0.9622    0.3940      5323

    accuracy                         0.2883     22140
   macro avg     0.5551    0.5186    0.2659     22140
weighted avg     0.7146    0.2883    0.1994     22140
",9.143925031026205
42,FakeNewsNet combined titles,2,23196,0.29496464907742714,0.27101963792668754,0.07562639756894673,0.9596872284969592,"[[1319, 16122], [232, 5523]]","              precision    recall  f1-score   support

        REAL     0.8504    0.0756    0.1389     17441
        FAKE     0.2552    0.9597    0.4031      5755

    accuracy                         0.2950     23196
   macro avg     0.5528    0.5177    0.2710     23196
weighted avg     0.7027    0.2950    0.2045     23196
",9.143925031026205
52,LIAR test,3,1267,0.6345698500394633,0.613170588565004,0.7717086834733894,0.45750452079566006,"[[551, 163], [300, 253]]","              precision    recall  f1-score   support

        REAL     0.6475    0.7717    0.7042       714
        FAKE     0.6082    0.4575    0.5222       553

    accuracy                         0.6346      1267
   macro avg     0.6278    0.6146    0.6132      1267
weighted avg     0.6303    0.6346    0.6247      1267
",9.026866654555002
52,FakeNewsNet PolitiFact titles,3,1056,0.571969696969697,0.5619125939849624,0.3557692307692308,0.8842592592592593,"[[222, 402], [50, 382]]","              precision    recall  f1-score   support

        REAL     0.8162    0.3558    0.4955       624
        FAKE     0.4872    0.8843    0.6283       432

    accuracy                         0.5720      1056
   macro avg     0.6517    0.6200    0.5619      1056
weighted avg     0.6816    0.5720    0.5498      1056
",9.026866654555002
52,FakeNewsNet GossipCop titles,3,22140,0.2886178861788618,0.2671424112917717,0.07730272938098352,0.9562276911516062,"[[1300, 15517], [233, 5090]]","              precision    recall  f1-score   support

        REAL     0.8480    0.0773    0.1417     16817
        FAKE     0.2470    0.9562    0.3926      5323

    accuracy                         0.2886     22140
   macro avg     0.5475    0.5168    0.2671     22140
weighted avg     0.7035    0.2886    0.2020     22140
",9.026866654555002
52,FakeNewsNet combined titles,3,23196,0.3015175030177617,0.2806580271015792,0.08726563843816294,0.9508253692441355,"[[1522, 15919], [283, 5472]]","              precision    recall  f1-score   support

        REAL     0.8432    0.0873    0.1582     17441
        FAKE     0.2558    0.9508    0.4032      5755

    accuracy                         0.3015     23196
   macro avg     0.5495    0.5190    0.2807     23196
weighted avg     0.6975    0.3015    0.2189     23196
",9.026866654555002
62,LIAR test,3,1267,0.6361483820047356,0.6145375568620903,0.7745098039215687,0.45750452079566006,"[[553, 161], [300, 253]]","              precision    recall  f1-score   support

        REAL     0.6483    0.7745    0.7058       714
        FAKE     0.6111    0.4575    0.5233       553

    accuracy                         0.6361      1267
   macro avg     0.6297    0.6160    0.6145      1267
weighted avg     0.6321    0.6361    0.6261      1267
",8.989951705932617
62,FakeNewsNet PolitiFact titles,3,1056,0.5473484848484849,0.5375125982664786,0.33974358974358976,0.8472222222222222,"[[212, 412], [66, 366]]","              precision    recall  f1-score   support

        REAL     0.7626    0.3397    0.4701       624
        FAKE     0.4704    0.8472    0.6050       432

    accuracy                         0.5473      1056
   macro avg     0.6165    0.5935    0.5375      1056
weighted avg     0.6431    0.5473    0.5252      1056
",8.989951705932617
62,FakeNewsNet GossipCop titles,3,22140,0.31937669376693767,0.310364118454995,0.1349824582267943,0.9019349990606801,"[[2270, 14547], [522, 4801]]","              precision    recall  f1-score   support

        REAL     0.8130    0.1350    0.2315     16817
        FAKE     0.2481    0.9019    0.3892      5323

    accuracy                         0.3194     22140
   macro avg     0.5306    0.5185    0.3104     22140
weighted avg     0.6772    0.3194    0.2694     22140
",8.989951705932617
62,FakeNewsNet combined titles,3,23196,0.3297551301948612,0.3206527663542496,0.14230835387879134,0.8978279756733275,"[[2482, 14959], [588, 5167]]","              precision    recall  f1-score   support

        REAL     0.8085    0.1423    0.2420     17441
        FAKE     0.2567    0.8978    0.3993      5755

    accuracy                         0.3298     23196
   macro avg     0.5326    0.5201    0.3207     23196
weighted avg     0.6716    0.3298    0.2810     23196
",8.989951705932617
72,LIAR test,2,1267,0.6432517758484609,0.6210001058873359,0.7857142857142857,0.4593128390596745,"[[561, 153], [299, 254]]","              precision    recall  f1-score   support

        REAL     0.6523    0.7857    0.7128       714
        FAKE     0.6241    0.4593    0.5292       553

    accuracy                         0.6433      1267
   macro avg     0.6382    0.6225    0.6210      1267
weighted avg     0.6400    0.6433    0.6327      1267
",8.885931332906088
