seed,target,best_epoch,n,accuracy,macro_f1,real_recall,fake_recall,confusion_matrix,classification_report,elapsed_minutes
42,LIAR test,2,1267,0.6456195737963694,0.6379845656798604,0.7016806722689075,0.5732368896925859,"[[501, 213], [236, 317]]","              precision    recall  f1-score   support

        REAL     0.6798    0.7017    0.6906       714
        FAKE     0.5981    0.5732    0.5854       553

    accuracy                         0.6456      1267
   macro avg     0.6389    0.6375    0.6380      1267
weighted avg     0.6441    0.6456    0.6447      1267
",8.758140405019125
42,FakeNewsNet PolitiFact titles,2,1056,0.4337121212121212,0.3544625223361234,0.07051282051282051,0.9583333333333334,"[[44, 580], [18, 414]]","              precision    recall  f1-score   support

        REAL     0.7097    0.0705    0.1283       624
        FAKE     0.4165    0.9583    0.5806       432

    accuracy                         0.4337      1056
   macro avg     0.5631    0.5144    0.3545      1056
weighted avg     0.5897    0.4337    0.3133      1056
",8.758140405019125
42,FakeNewsNet GossipCop titles,2,22140,0.2695573622402891,0.23863320810006916,0.04477611940298507,0.9797106894608304,"[[753, 16064], [108, 5215]]","              precision    recall  f1-score   support

        REAL     0.8746    0.0448    0.0852     16817
        FAKE     0.2451    0.9797    0.3921      5323

    accuracy                         0.2696     22140
   macro avg     0.5598    0.5122    0.2386     22140
weighted avg     0.7232    0.2696    0.1590     22140
",8.758140405019125
42,FakeNewsNet combined titles,2,23196,0.27703052250388,0.24423501009678936,0.04569692104810504,0.9781059947871417,"[[797, 16644], [126, 5629]]","              precision    recall  f1-score   support

        REAL     0.8635    0.0457    0.0868     17441
        FAKE     0.2527    0.9781    0.4017      5755

    accuracy                         0.2770     23196
   macro avg     0.5581    0.5119    0.2442     23196
weighted avg     0.7120    0.2770    0.1649     23196
",8.758140405019125
52,LIAR test,2,1267,0.6440410418310971,0.6314705975300107,0.7352941176470589,0.5262206148282098,"[[525, 189], [262, 291]]","              precision    recall  f1-score   support

        REAL     0.6671    0.7353    0.6995       714
        FAKE     0.6062    0.5262    0.5634       553

    accuracy                         0.6440      1267
   macro avg     0.6367    0.6308    0.6315      1267
weighted avg     0.6405    0.6440    0.6401      1267
",8.762928426265717
52,FakeNewsNet PolitiFact titles,2,1056,0.5075757575757576,0.4714714714714715,0.20833333333333334,0.9398148148148148,"[[130, 494], [26, 406]]","              precision    recall  f1-score   support

        REAL     0.8333    0.2083    0.3333       624
        FAKE     0.4511    0.9398    0.6096       432

    accuracy                         0.5076      1056
   macro avg     0.6422    0.5741    0.4715      1056
weighted avg     0.6770    0.5076    0.4464      1056
",8.762928426265717
52,FakeNewsNet GossipCop titles,2,22140,0.2832429990966576,0.25793119122188224,0.0648748290420408,0.9731354499342476,"[[1091, 15726], [143, 5180]]","              precision    recall  f1-score   support

        REAL     0.8841    0.0649    0.1209     16817
        FAKE     0.2478    0.9731    0.3950      5323

    accuracy                         0.2832     22140
   macro avg     0.5659    0.5190    0.2579     22140
weighted avg     0.7311    0.2832    0.1868     22140
",8.762928426265717
52,FakeNewsNet combined titles,2,23196,0.29345576823590275,0.2675175884133954,0.07000745370104926,0.9706342311033883,"[[1221, 16220], [169, 5586]]","              precision    recall  f1-score   support

        REAL     0.8784    0.0700    0.1297     17441
        FAKE     0.2562    0.9706    0.4054      5755

    accuracy                         0.2935     23196
   macro avg     0.5673    0.5203    0.2675     23196
weighted avg     0.7240    0.2935    0.1981     23196
",8.762928426265717
62,LIAR test,3,1267,0.6314127861089187,0.6217995059076948,0.7016806722689075,0.5406871609403255,"[[501, 213], [254, 299]]","              precision    recall  f1-score   support

        REAL     0.6636    0.7017    0.6821       714
        FAKE     0.5840    0.5407    0.5615       553

    accuracy                         0.6314      1267
   macro avg     0.6238    0.6212    0.6218      1267
weighted avg     0.6288    0.6314    0.6295      1267
",8.742375139395396
62,FakeNewsNet PolitiFact titles,3,1056,0.4734848484848485,0.4342777197519492,0.1778846153846154,0.9004629629629629,"[[111, 513], [43, 389]]","              precision    recall  f1-score   support

        REAL     0.7208    0.1779    0.2853       624
        FAKE     0.4313    0.9005    0.5832       432

    accuracy                         0.4735      1056
   macro avg     0.5760    0.5392    0.4343      1056
weighted avg     0.6023    0.4735    0.4072      1056
",8.742375139395396
