seed,target,best_epoch,n,accuracy,macro_f1,real_recall,fake_recall,confusion_matrix,classification_report,elapsed_minutes
42,LIAR test,3,1267,0.6535122336227308,0.6408389269328993,0.7464985994397759,0.5334538878842676,"[[533, 181], [258, 295]]","              precision    recall  f1-score   support

        REAL     0.6738    0.7465    0.7083       714
        FAKE     0.6197    0.5335    0.5734       553

    accuracy                         0.6535      1267
   macro avg     0.6468    0.6400    0.6408      1267
weighted avg     0.6502    0.6535    0.6494      1267
",8.951862076918284
42,FakeNewsNet PolitiFact titles,3,1056,0.4630681818181818,0.3920157593050472,0.10256410256410256,0.9837962962962963,"[[64, 560], [7, 425]]","              precision    recall  f1-score   support

        REAL     0.9014    0.1026    0.1842       624
        FAKE     0.4315    0.9838    0.5999       432

    accuracy                         0.4631      1056
   macro avg     0.6664    0.5432    0.3920      1056
weighted avg     0.7092    0.4631    0.3542      1056
",8.951862076918284
42,FakeNewsNet GossipCop titles,3,22140,0.2505871725383921,0.2096979038071616,0.015222691324255218,0.9941762164193124,"[[256, 16561], [31, 5292]]","              precision    recall  f1-score   support

        REAL     0.8920    0.0152    0.0299     16817
        FAKE     0.2422    0.9942    0.3895      5323

    accuracy                         0.2506     22140
   macro avg     0.5671    0.5047    0.2097     22140
weighted avg     0.7358    0.2506    0.1164     22140
",8.951862076918284
42,FakeNewsNet combined titles,3,23196,0.2602603897223659,0.2179225803682218,0.018347571813542803,0.9933970460469157,"[[320, 17121], [38, 5717]]","              precision    recall  f1-score   support

        REAL     0.8939    0.0183    0.0360     17441
        FAKE     0.2503    0.9934    0.3999      5755

    accuracy                         0.2603     23196
   macro avg     0.5721    0.5059    0.2179     23196
weighted avg     0.7342    0.2603    0.1262     23196
",8.951862076918284
52,LIAR test,3,1267,0.6606156274664562,0.6495641501957979,0.7436974789915967,0.5533453887884268,"[[531, 183], [247, 306]]","              precision    recall  f1-score   support

        REAL     0.6825    0.7437    0.7118       714
        FAKE     0.6258    0.5533    0.5873       553

    accuracy                         0.6606      1267
   macro avg     0.6541    0.6485    0.6496      1267
weighted avg     0.6577    0.6606    0.6575      1267
",8.809519255161286
52,FakeNewsNet PolitiFact titles,3,1056,0.4696969696969697,0.4075570142219978,0.1233974358974359,0.9699074074074074,"[[77, 547], [13, 419]]","              precision    recall  f1-score   support

        REAL     0.8556    0.1234    0.2157       624
        FAKE     0.4337    0.9699    0.5994       432

    accuracy                         0.4697      1056
   macro avg     0.6447    0.5467    0.4076      1056
weighted avg     0.6830    0.4697    0.3727      1056
",8.809519255161286
52,FakeNewsNet GossipCop titles,3,22140,0.25844625112917796,0.22279253266452315,0.029137182612832255,0.9829043772308849,"[[490, 16327], [91, 5232]]","              precision    recall  f1-score   support

        REAL     0.8434    0.0291    0.0563     16817
        FAKE     0.2427    0.9829    0.3893      5323

    accuracy                         0.2584     22140
   macro avg     0.5430    0.5060    0.2228     22140
weighted avg     0.6990    0.2584    0.1364     22140
",8.809519255161286
52,FakeNewsNet combined titles,3,23196,0.2680634592171064,0.2311284086195091,0.03250960380712115,0.9819287576020851,"[[567, 16874], [104, 5651]]","              precision    recall  f1-score   support

        REAL     0.8450    0.0325    0.0626     17441
        FAKE     0.2509    0.9819    0.3996      5755

    accuracy                         0.2681     23196
   macro avg     0.5479    0.5072    0.2311     23196
weighted avg     0.6976    0.2681    0.1462     23196
",8.809519255161286
62,LIAR test,2,1267,0.6503551696921863,0.6402840397476199,0.7254901960784313,0.5533453887884268,"[[518, 196], [247, 306]]","              precision    recall  f1-score   support

        REAL     0.6771    0.7255    0.7005       714
        FAKE     0.6096    0.5533    0.5801       553

    accuracy                         0.6504      1267
   macro avg     0.6433    0.6394    0.6403      1267
weighted avg     0.6476    0.6504    0.6479      1267
",8.807556064923604
62,FakeNewsNet PolitiFact titles,2,1056,0.45265151515151514,0.37414843221294836,0.08333333333333333,0.9861111111111112,"[[52, 572], [6, 426]]","              precision    recall  f1-score   support

        REAL     0.8966    0.0833    0.1525       624
        FAKE     0.4269    0.9861    0.5958       432

    accuracy                         0.4527      1056
   macro avg     0.6617    0.5347    0.3741      1056
weighted avg     0.7044    0.4527    0.3338      1056
",8.807556064923604
