section,seed,target_train_n,test_n,accuracy_baseline,macro_f1_baseline,real_recall_baseline,fake_recall_baseline,accuracy,macro_f1,real_recall,fake_recall,accuracy_uplift,macro_f1_uplift,real_recall_uplift,fake_recall_uplift,confusion_matrix,row
per_seed,42.0,1484.0,4640.0,0.2601293103448276,0.2178325950453414,0.0183433648609916,0.993049522154648,0.8116379310344828,0.7202523975448963,0.9197477787331614,0.4839270199826238,0.5515086206896551,0.502419802499555,0.9014044138721697,-0.5091225021720243,"[[3209, 280], [594, 557]]",
per_seed,52.0,1484.0,4640.0,0.2665948275862069,0.229123406348589,0.0306678131269704,0.9817549956559514,0.8,0.6523284896339321,0.9653195758096876,0.2988705473501303,0.5334051724137931,0.4232050832853431,0.9346517626827172,-0.6828844483058211,"[[3368, 121], [807, 344]]",
per_seed,62.0,1484.0,4640.0,0.2655172413793103,0.2249137770297812,0.0243622814560045,0.996524761077324,0.8120689655172414,0.71945169491925,0.9220406993407854,0.4787141615986099,0.5465517241379311,0.49453791788946877,0.8976784178847809,-0.5178105994787141,"[[3217, 272], [600, 551]]",
per_seed,72.0,1484.0,4640.0,0.3040948275862069,0.2817164943839875,0.0848380624820865,0.9687228496959166,0.8021551724137931,0.701771425306748,0.9191745485812554,0.4474370112945265,0.4980603448275862,0.42005493092276047,0.8343364860991689,-0.5212858384013901,"[[3207, 282], [636, 515]]",
per_seed,82.0,1484.0,4640.0,0.265948275862069,0.2283667066646667,0.0300945829750644,0.9808861859252824,0.8157327586206896,0.7235893613118051,0.9263399254800804,0.4804517810599478,0.5497844827586207,0.4952226546471383,0.896245342505016,-0.5004344048653346,"[[3232, 257], [598, 553]]",
summary,,,,,,,,0.8083189655172414,0.7034786737433263,0.9305245055889941,0.4378801042571677,0.5358620689655172,0.4670880778488532,0.8928632846087705,-0.5463075586446567,,mean
summary,,,,,,,,0.006841781438056564,0.02983366806891148,0.019654146869113907,0.07908077790494254,0.02229306844544815,0.0416269534625688,0.03632918164744984,0.07677643619250922,,std
summary,,,,,,,,0.8,0.6523284896339321,0.9191745485812554,0.2988705473501303,0.4980603448275862,0.42005493092276047,0.8343364860991689,-0.6828844483058211,,min
summary,,,,,,,,0.8157327586206896,0.7235893613118051,0.9653195758096876,0.4839270199826238,0.5515086206896551,0.502419802499555,0.9346517626827172,-0.5004344048653346,,max
baseline_comparison,,,,,,,,0.27245689655172417,0.23639059589447314,0.03766122098022348,0.9841876629018245,,,,,,direct baseline mean
baseline_comparison,,,,,,,,0.01787325426147578,0.025728139667099404,0.026841467432440907,0.011030804690254609,,,,,,direct baseline std
baseline_comparison,,,,,,,,0.8083189655172414,0.7034786737433263,0.9305245055889941,0.4378801042571677,,,,,,10% FT mean
baseline_comparison,,,,,,,,0.006841781438056564,0.02983366806891148,0.019654146869113907,0.07908077790494254,,,,,,10% FT std
baseline_comparison,,,,,,,,0.5358620689655171,0.46708807784885314,0.8928632846087706,-0.5463075586446567,,,,,,mean uplift
