section,label,accuracy,macro_f1,real_recall,fake_recall,test_n,confusion_matrix
per_seed,seed 42,0.2601293103448276,0.2178325950453414,0.0183433648609916,0.993049522154648,4640,"[[64, 3425], [8, 1143]]"
per_seed,seed 52,0.2665948275862069,0.229123406348589,0.0306678131269704,0.9817549956559514,4640,"[[107, 3382], [21, 1130]]"
per_seed,seed 62,0.2655172413793103,0.2249137770297812,0.0243622814560045,0.996524761077324,4640,"[[85, 3404], [4, 1147]]"
per_seed,seed 72,0.3040948275862069,0.2817164943839875,0.0848380624820865,0.9687228496959166,4640,"[[296, 3193], [36, 1115]]"
per_seed,seed 82,0.265948275862069,0.2283667066646667,0.0300945829750644,0.9808861859252824,4640,"[[105, 3384], [22, 1129]]"
summary,mean,0.27245689655172417,0.23639059589447314,0.03766122098022348,0.9841876629018245,,
summary,std,0.01787325426147578,0.025728139667099404,0.026841467432440907,0.011030804690254609,,
summary,min,0.2601293103448276,0.2178325950453414,0.0183433648609916,0.9687228496959166,,
summary,max,0.3040948275862069,0.2817164943839875,0.0848380624820865,0.996524761077324,,
comparison,old seed-42 single run,0.2601,0.2178,0.0183,0.993,,
comparison,new 5-seed mean,0.27245689655172417,0.23639059589447314,0.03766122098022348,0.9841876629018245,,
comparison,difference mean - old42,0.012356896551724172,0.01859059589447315,0.01936122098022348,-0.008812337098175527,,
